Dataset,#TrainingRelease,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE THRESHOLD,15,0,154,133,1.0,0.10135135135135136,0.5506756756756757,0.10315723663644892,
BOOKKEEPER,2,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE THRESHOLD,21,0,192,251,1.0,0.07720588235294118,0.5386029411764706,0.0647565206218682,
BOOKKEEPER,3,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE THRESHOLD,35,0,197,386,1.0,0.0831353919239905,0.5415676959619953,0.05464892326958281,
BOOKKEEPER,4,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE THRESHOLD,62,1,120,407,0.9841269841269841,0.13219616204690832,0.5619658496184955,0.055207114990619637,
BOOKKEEPER,5,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE THRESHOLD,62,11,186,359,0.8493150684931506,0.14726840855106887,0.5457154225496461,0.06220009350930582,
BOOKKEEPER,6,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE THRESHOLD,97,0,0,559,1.0,0.14786585365853658,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE THRESHOLD,1,4,150,147,0.2,0.006756756756756757,0.4903913653913654,-0.019585923176675794,
BOOKKEEPER,2,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE THRESHOLD,7,1,191,265,0.875,0.025735294117647058,0.5102634803921569,0.017074413863404702,
BOOKKEEPER,3,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE THRESHOLD,4,4,193,417,0.5,0.009501187648456057,0.4945983095602686,-0.006935360274937544,
BOOKKEEPER,4,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE THRESHOLD,175,6,115,294,0.9668508287292817,0.373134328358209,0.6617737757493524,0.17182133799983157,
BOOKKEEPER,5,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE THRESHOLD,109,23,174,312,0.8257575757575758,0.2589073634204275,0.5710780471924473,0.10225055288148821,
BOOKKEEPER,6,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE THRESHOLD,15,0,0,641,1.0,0.022865853658536585,NaN,0.0,
BOOKKEEPER,1,IBK,OVERSAMPLING,NO,SENSITIVE THRESHOLD,127,33,121,21,0.79375,0.8581081081081081,0.821911196911197,0.6428070790257578,
BOOKKEEPER,2,IBK,OVERSAMPLING,NO,SENSITIVE THRESHOLD,142,20,172,130,0.8765432098765432,0.5220588235294118,0.7089460784313726,0.3854196100593387,
